Id,Pontos,Estado,Genero,Idade,Bens,Saldo na Conta,Produto,Possui cartao,Ativo,Salario,Saiu
1,619,BA,Feminino,42,2,0,1,1,1,10134888,1
2,608,CE,Feminino,41,1,8380786,1,0,1,11254258,0
3,502,BA,Feminino,42,8,1596608,3,1,0,11393157,1
4,699,BA,Feminino,39,1,0,2,0,0,9382663,0
5,850,CE,Feminino,43,2,12551082,1,1,1,790841,0
6,645,CE,Masculino,44,8,11375578,2,1,0,14975671,1
7,822,BA,M,50,7,0,2,1,1,100628,0
8,376,CE,Feminino,29,4,11504674,4,1,0,11934688000,1
9,501,BA,Masculino,44,4,14205107,2,0,1,749405,0
10,684,BA,Masculino,27,2,13460388,1,1,1,7172573,0
11,528,BA,Masculino,31,6,10201672,2,0,0,8018112,0
12,497,CE,Masculino,24,3,0,2,1,0,7639001,0
13,476,BA,Feminino,34,10,0,2,1,0,2626098,0
14,549,BA,Feminino,25,5,0,2,0,0,19085779,0
15,635,CE,Feminino,35,7,0,2,1,1,6595165,0
16,616,CE,M,45,3,14312941,2,0,1,6432726,0
17,653,CE,Masculino,58,1,13260288,1,1,0,509767,1
18,549,CE,Feminino,24,9,0,2,1,1,,0
19,587,CE,Masculino,45,6,0,1,0,0,15868481,0
20,726,BA,Feminino,24,6,0,2,1,1,5472403,0
21,732,BA,M,41,8,0,2,1,1,17088617,0
22,636,CE,Feminino,32,8,0,2,1,0,13855546,0
23,510,SP,Feminino,38,4,0,1,1,0,11891353,1
24,669,BA,Masculino,46,3,0,2,0,1,848775,0
25,846,BA,Feminino,38,5,0,1,1,1,18761616,0
26,577,BA,Masculino,25,3,0,2,0,1,12450829,0
27,756,CE,Masculino,36,2,13681564,1,1,1,17004195,0
28,571,MA,Masculino,44,9,0,2,0,0,10000,0
29,574,SP,Feminino,43,3,14134943,1,1,1,10018743,0
30,411,MA,Masculino,29,0,5969717,2,1,1,5348321,0
31,591,CE,Feminino,39,3,0,3,1,0,14046938,1
32,533,MA,Masculino,36,7,853117,1,0,1,15673191,0
33,553,MG,Masculino,41,9,11011254,2,0,0,8189881,0
34,520,CE,Feminino,42,6,0,2,1,1,3441055,0
35,722,CE,Feminino,29,9,0,2,1,1,14203307,0
36,475,MA,Feminino,45,0,13426404,1,1,0,2782299,1
37,490,CE,Masculino,31,3,14526023,1,0,1,11406677,0
38,804,CE,Masculino,33,7,765486,1,0,1,9845345,0
39,850,MA,Masculino,36,7,0,1,1,1,408129,0
40,582,CE,Masculino,41,6,7034948,2,0,1,17807404,0
41,472,CE,Masculino,40,4,0,1,1,0,7015422,0
42,465,MA,Feminino,51,8,12252232,1,0,0,18129765,1
43,556,MA,Feminino,61,2,11741935,1,1,1,9415383,0
44,834,MA,Feminino,49,2,13139456,1,0,0,19436576,1
45,660,CE,Feminino,61,5,15593111,1,1,1,15833839,0
46,776,CE,Feminino,32,4,10942113,2,1,1,12651746,0
47,829,CE,Feminino,27,9,11204567,1,1,1,11970821,1
48,637,CE,Feminino,39,9,1378438,1,1,1,1176228,1
49,550,CE,Masculino,38,2,10339138,1,0,1,9087813,0
50,776,CE,Feminino,37,2,10376922,2,1,0,19409912,0
51,698,CE,Masculino,44,10,11636337,2,1,0,19805916,0
52,585,CE,Masculino,36,5,14605097,2,0,0,8642457,0
53,788,MA,Feminino,33,5,0,2,0,0,,0
54,655,CE,Masculino,41,8,12556197,1,0,0,16404094,1
55,601,CE,Masculino,42,1,9849572,1,1,0,4001476,1
56,619,SP,Masculino,43,1,12521192,1,1,1,11341049,0
57,656,MA,Masculino,45,5,1278644,1,1,0,8710757,0
58,725,CE,Masculino,19,0,758882,1,0,0,4561375,0
59,511,CE,Feminino,66,4,0,1,1,0,164311,1
60,614,MA,Masculino,51,4,4068592,1,1,1,4677528,0
61,742,MG,Masculino,35,5,136857,1,0,0,8450957,0
62,687,MG,Feminino,27,9,15232888,2,0,0,12649482,0
63,555,MG,Masculino,33,1,5608469,2,0,0,17879813,0
64,684,MG,Masculino,56,8,7870716,1,1,1,9939836,0
65,603,MG,,26,4,10916637,1,1,1,9284067,0
66,751,MG,Feminino,36,6,16983146,2,1,1,2775836,0
67,581,MG,Feminino,34,1,10163304,1,1,0,11043151,0
68,735,CE,Masculino,43,10,12318001,2,1,1,19667328,0
69,661,CE,Feminino,35,5,15072553,2,0,1,11365685,0
70,675,MA,Feminino,21,8,9837326,1,1,0,18203,0
71,738,CE,Masculino,58,2,13374544,4,1,0,2837386,1
72,813,MA,Masculino,29,6,0,1,1,0,3395387,0
73,657,CE,Feminino,37,0,16360718,1,0,1,4420355,0
74,604,CE,Feminino,25,5,15778084,2,1,1,5842681,0
75,519,MA,Masculino,36,9,0,2,0,1,1455624,0
76,735,SP,Feminino,21,1,17871819,2,1,0,22388,0
77,664,MA,Masculino,55,8,0,2,1,1,13916164,0
78,678,MA,Feminino,32,9,0,1,1,1,14821064,0
79,757,CE,Masculino,33,5,7725322,1,0,1,19423963,0
80,416,CE,Feminino,41,10,12218966,2,1,0,9830161,0
81,665,MA,Feminino,34,1,9664554,2,0,0,17141366,0
81,665,MA,Feminino,34,1,9664554,2,0,0,17141366,0
84,543,MA,Feminino,36,3,0,2,0,0,2601959,0
85,506,MA,Feminino,34,4,9030762,1,1,1,15923529,0
86,493,MA,,46,4,0,2,1,0,190766,0
87,652,CE,Feminino,75,10,0,2,1,1,11467575,0
88,750,CE,Masculino,22,3,12168182,1,1,0,12864335,1
89,729,MA,Masculino,30,9,0,2,1,0,15186935,0
90,646,MA,Feminino,46,4,0,3,1,0,9325142,1
91,635,CE,Feminino,28,3,8162367,2,1,1,15679136,0
92,647,CE,Feminino,44,5,0,3,1,1,17420522,1
93,808,MA,Masculino,45,7,11862655,2,1,0,14713246,0
94,524,MA,Feminino,36,10,0,2,1,0,10961457,0
95,769,MG,Masculino,29,8,0,2,1,1,17229061,0
96,730,CE,Masculino,42,4,0,2,0,1,8598247,0
97,515,CE,Masculino,35,10,17627395,1,0,1,12127778,0
98,773,CE,Masculino,41,9,10282744,1,0,1,6459525,0
99,814,CE,Masculino,29,8,970864,2,1,1,19727613,0
100,710,CE,Masculino,22,8,0,2,0,0,9964504,0
101,413,MA,Masculino,34,9,0,2,0,0,653418,0
102,665,MA,Feminino,40,6,0,1,1,1,16184803,0
103,623,MA,Feminino,44,6,0,2,0,0,16716243,0
104,738,MA,Masculino,31,9,8267415,1,1,0,4197072,0
105,528,CE,Masculino,36,7,0,2,1,0,6053656,0
106,670,CE,Feminino,65,1,0,1,1,1,17765568,1
107,622,CE,Feminino,46,4,10707327,2,1,1,3098459,1
108,582,CE,Masculino,32,1,8893862,1,1,1,1005453,0
109,785,CE,Feminino,36,2,9980685,1,0,1,3697652,0
110,605,CE,Masculino,33,5,1500928,1,0,0,7186279,0
111,479,CE,Masculino,35,9,9283389,1,1,0,9944986,1
112,685,CE,Masculino,30,3,9053681,1,0,1,6308288,0
113,538,CE,Masculino,39,7,1080551,2,1,0,2723126,0
114,562,MA,Masculino,42,2,10023835,1,0,0,8679741,0
115,675,CE,Masculino,36,9,10619055,1,0,1,2299432,0
116,721,CE,Masculino,28,9,15447554,2,0,1,10130094,1
117,628,CE,Feminino,30,9,13235129,2,1,1,7416913,0
118,668,CE,Feminino,37,6,1678644,1,1,0,11563829000,0
119,506,MA,Feminino,41,1,0,2,1,0,317663,0
120,524,CE,Feminino,31,8,10781863,1,1,0,19972539,1
